dry_run_record_id,candidate_record_id,batch_id,source_absolute_path,exact_target_path,source_exists,source_readable,source_hash_verified,authority_resolved,classification_resolved,target_parent_exists,target_parent_empty_or_compatible,target_absent,collision_free,path_valid,rollback_ready,batch_scope_valid,dry_run_result,blocking_reason
DR-02G-0046,CAND-02G-0046,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\QUICKSTART.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\QUICKSTART.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0047,CAND-02G-0047,CL-MIG-001A,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\README.md,YES,YES,YES,NO,NO,NO,N/A,YES,N/A,YES,YES,NO,WOULD_STOP_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
DR-02G-0048,CAND-02G-0048,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIGRATION_MANIFEST.schema.json,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,Superseded Phase 02 schema excluded by revised map
DR-02G-0049,CAND-02G-0049,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.json,,YES,YES,YES,NO,YES,NO,N/A,N/A,N/A,N/A,YES,NO,WOULD_STOP_SCOPE,Superseded Phase 02 schema excluded by revised map
DR-02G-0050,CAND-02G-0050,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_RELEASE_PROFILE_REGISTRY.md,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0051,CAND-02G-0051,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_ROOT_STATUS_RECORD.md,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0052,CAND-02G-0052,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_MIRROR_DUPLICATE_DOCTRINE.md,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0053,CAND-02G-0053,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_COLLECTION_STATE_LANGUAGE.md,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0054,CAND-02G-0054,CL-MIG-001A,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_COLLECTION_STATE_MAP.json,NO,NO,NO,NO,YES,NO,NO,YES,N/A,YES,NO,NO,WOULD_STOP_AUTHORITY,Authority-deferred registry records remain blocked
DR-02G-0055,CAND-02G-0055,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_STOP_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
DR-02G-0056,CAND-02G-0056,CL-MIG-001B,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_STOP_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
